GLAccountMapId,Source,FinancialRecordType,GLAccount,GLDescription,FileTypeId,FieldName,IncludeExchangeName
1,GS 1.0,ACT,99998,SUSPENSE,2,,false
2,GS 1.0,ACX,99998,SUSPENSE,2,,false
3,GS 1.0,BPJ,44000,SHORT STOCK REBATES,2,,false
4,GS 1.0,BRK,54000,BROKERAGE EXPENSE,2,,false
5,GS 1.0,BRX,54000,BROKERAGE EXPENSE,2,,false
6,GS 1.0,CLR,51100,STOCK CLEARING FIRM COMMISSIONS,2,,false
7,GS 1.0,CLX,51100,STOCK CLEARING FIRM COMMISSIONS,2,,false
8,GS 1.0,CMD,53000,INTEREST EXPENSE,2,,false
9,GS 1.0,CMJ,53000,INTEREST EXPENSE,2,,false
10,GS 1.0,EF,52100,STOCK EXCHANGE FEES,2,,false
11,GS 1.0,EFX,52100,STOCK EXCHANGE FEES,2,,false
12,GS 1.0,FEF,52300,FUTURES EXCHANGE FEES,2,,false
13,GS 1.0,FEX,52300,FUTURES EXCHANGE FEES,2,,false
14,GS 1.0,FMM,51400,FUTURES CLEARING FIRM COMMISSIONS,2,,false
15,GS 1.0,FWO,99999,SUSPENSE,2,,false
16,GS 1.0,ME,99999,SUSPENSE,2,,false
17,GS 1.0,MEX,99999,SUSPENSE,2,,false
18,GS 1.0,MI,53000,INTEREST EXPENSE,2,,false
19,GS 1.0,MIJ,53000,INTEREST EXPENSE,2,,false
20,GS 1.0,OBR,54000,BROKERAGE EXPENSE,2,,false
21,GS 1.0,OEF,52200,OPTION EXCHANGE FEES,2,,false
22,GS 1.0,OFX,52200,OPTION EXCHANGE FEES,2,,false
23,GS 1.0,OHF,52400,EXCHANGE REBATE PROGRAMS,2,,false
24,GS 1.0,OPT,51200,OPTIONS CLEARING FIRM COMMISSIONS,2,,false
25,GS 1.0,OPX,51200,OPTIONS CLEARING FIRM COMMISSIONS,2,,false
26,GS 1.0,POF,52310,PAYMENT FOR ORDER FLOW,2,,false
27,GS 1.0,SBP,44000,SHORT STOCK REBATES,2,,false
28,GS 1.0,SL,55000,SEAT LEASE EXPENSES,2,,false
29,GS 8.0,10,41200,PRINCIPAL EQUITY OPTIONS P&L,11,,false
30,GS 8.0,1161,44000,SSR INCOME PARENT TO CHILD,11,,false
31,GS 8.0,1164,44000,SSR EXPENSE PARENT FROM CHILD,11,,false
32,GS 8.0,1172,44000,SBP EXPENSE PARENT TO CHILD,11,,false
33,GS 8.0,1173,44000,SBP INCOME PARENT FROM CHILD,11,,false
34,GS 8.0,12,41400,FUTURES OPTIONS PRINCIPAL P&L,11,,false
35,GS 8.0,121,41100,QUALIFIED L/TERM CAPT GAIN,11,,false
36,GS 8.0,122,42000,SHORT TERM CAPITAL GAIN DIST,11,,false
37,GS 8.0,123,42000,PARTNERSHIP DISTRIBUTIONS,11,,false
38,GS 8.0,124,99999,ROYALTIES,11,,false
39,GS 8.0,13,41000,PRINCIPAL CURRENCY P&L,11,,false
40,GS 8.0,131,51100,STOCK CLEARING (SH),11,,false
41,GS 8.0,132,54000,STOCK BROKERAGE (SH),11,,false
42,GS 8.0,134,52100,STOCK EXCHANGE FEES INC,11,,false
43,GS 8.0,135,51200,OPTION CLEARING (SH),11,,false
44,GS 8.0,136,54000,OPTION BROKERAGE (SH),11,,false
45,GS 8.0,139,54000,I.D. TICKET CHARGE (SH),11,,false
46,GS 8.0,146,52400,OPTIONS LIQUIDITY REBATE - T/P,11,,false
47,GS 8.0,153,44000,STOCK BORROW PREMIUM RECLASS,11,,false
48,GS 8.0,155,53005,CAPITAL USAGE,11,,false
49,GS 8.0,16,43000,FUTURES CREDIT INTEREST,11,,false
50,GS 8.0,160,44000,S/S INTEREST REBATE,11,,false
